prefix,design,files
K,8709,"[{""prefix"":""K"",""name"":""8709.webp"",""design"":""8709"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8710,"[{""prefix"":""K"",""name"":""8710.webp"",""design"":""8710"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8714,"[{""prefix"":""K"",""name"":""8714_ham.webp"",""design"":""8714"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8719,"[{""prefix"":""K"",""name"":""8719_ham.webp"",""design"":""8719"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8722,"[{""prefix"":""K"",""name"":""8722_ham.webp"",""design"":""8722"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8723,"[{""prefix"":""K"",""name"":""8723.webp"",""design"":""8723"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8724,"[{""prefix"":""K"",""name"":""8724_ham.webp"",""design"":""8724"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8726,"[{""prefix"":""K"",""name"":""8726.webp"",""design"":""8726"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8728,"[{""prefix"":""K"",""name"":""8728.webp"",""design"":""8728"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8729,"[{""prefix"":""K"",""name"":""8729.webp"",""design"":""8729"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8730,"[{""prefix"":""K"",""name"":""8730.webp"",""design"":""8730"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8733,"[{""prefix"":""K"",""name"":""8733_ham.webp"",""design"":""8733"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8789,"[{""prefix"":""K"",""name"":""8789.webp"",""design"":""8789"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""8789_ham.webp"",""design"":""8789"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1017,"[{""prefix"":""N"",""name"":""1017.webp"",""design"":""1017"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1100,"[{""prefix"":""N"",""name"":""1100.webp"",""design"":""1100"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1100-2.webp"",""design"":""1100"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1110,"[{""prefix"":""N"",""name"":""1110.webp"",""design"":""1110"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1129,"[{""prefix"":""N"",""name"":""1129.webp"",""design"":""1129"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1132,"[{""prefix"":""N"",""name"":""1132_K19.webp"",""design"":""1132"",""annex"":"""",""variant"":""K19"",""imageNo"":""1""}]"
N,1139,"[{""prefix"":""N"",""name"":""1139.webp"",""design"":""1139"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1139-2.webp"",""design"":""1139"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1140,"[{""prefix"":""N"",""name"":""1140T.webp"",""design"":""1140"",""annex"":""T"",""variant"":"""",""imageNo"":""1""}]"
N,1156,"[{""prefix"":""N"",""name"":""1156.webp"",""design"":""1156"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1157,"[{""prefix"":""N"",""name"":""1157.webp"",""design"":""1157"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1162,"[{""prefix"":""N"",""name"":""1162.webp"",""design"":""1162"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1163,"[{""prefix"":""N"",""name"":""1163T.webp"",""design"":""1163"",""annex"":""T"",""variant"":"""",""imageNo"":""1""}]"
N,1175,"[{""prefix"":""N"",""name"":""1175-2.webp"",""design"":""1175"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1175T ,"[{""prefix"":""N"",""name"":""1175T _K48.webp"",""design"":""1175T "",""annex"":"""",""variant"":""K48"",""imageNo"":""1""}]"
N,1180,"[{""prefix"":""N"",""name"":""1180_K12.webp"",""design"":""1180"",""annex"":"""",""variant"":""K12"",""imageNo"":""1""}]"
